organization,cosponsor,type,location_name,address,zip,frequency,day,times,year_round_or_dates,name,email,phone,website,registration_contact,description,eligibility_requirements,eligibility_requirement,nophotoidrequired,noregistrationrequired,restrictedaccessonlymembers,age_restrictions_for_children_or,age_restrictions_for_seniors_onl,incomemaximumforeligibility,deliveryavailable,preparedmeals,groceryitems,fresh_produce,accepts_snap,languagesspokenotherthanengl,otherservicesprovideddiaper,otherservicesprovidedbabyf,otherservicesprovidedfinanc,otherservicesprovidedclothi,otherservicesprovided,metro,bus,location_type,state,city
"Real Food For Kids","Virginia Hospital Center Pediatric Clinic","Produce Kits","Virginia Hospital Center Pediatrics","3401 Columbia Pike, Suite 200","22204","Weekly","Tuesday"," 5:00 PM","Year-round","Mary Porter ","mporter@realfoodforkids.org","","https://www.realfoodforkids.org/programs/chefs-feeding-families/","Jenny Reyes: 703-717-7009 or 571-623-5449","Plant-based meals for the whole family made by restaurant chefs.","Open to VHC Pediatrics clients. Contact provider, Jenny Reyes or Diana Rodriguez to enroll.","x","x","","x","x","","","x","x","","","","Spanish","","","","","","","ART 41, 45, 75; Metrobus 10B, 16A/C/E/G/H, 23A/B/T","Charitable food-site","Virginia",""
"Real Food For Kids","Abingdon Elementary School PTA","Produce Kits","Abingdon Elementary School","3035 South Abingdon St.","22206","Weekly","Wednesday"," 4:15 PM","Year-round","Mary Porter ","mporter@realfoodforkids.org","","https://www.realfoodforkids.org/programs/chefs-feeding-families/","Margarita Zwisler: margarita.zwisler2@apsva.us or 571-619-6632","Meal kits with fresh produce and recipes that are enough to make 16 meals","Open to Abingdon Elementary School families. Contact Abingdon school social worker, Margarita Zwisler, to sign up.","x","x","","x","x","","","x","","","","","Spanish","","","","","","","","Charitable food-site","Virginia",""
"Real Food For Kids","Carlin Springs Elementary Schools","Produce Kits","Carlin Springs Elementary Schools","5995 5th Rd S","22204","Bi-weekly","Wednesday"," 5:00 PM","Year-round","Mary Porter ","mporter@realfoodforkids.org","","https://www.realfoodforkids.org/programs/chefs-feeding-families/","Carol Sabatino: carol.sabatino@apsva.us or 703-228-8409","Meal kits with fresh produce and recipes that are enough to make 16 meals","Open to CSES famiiles only. Contact Carol Sabatino for more information","x","x","","x","x","","","x","","","","","Spanish","","","","","","","","Charitable food-site","Virginia",""
"Rosslyn Farmer's Market","FreshFarm","Discount groceries","Central Place Plaza","1800 N. Lynn St","22209","Weekly","Wednesday","3 - 7 PM","May 5 - Oct. 27","Kim Haun","Khaun@arlingtonva.us","703-228-7872","https://www.freshfarm.org/markets/rosslyn","N/A","All FRESHFARM markets accept SNAP/EBT, WIC and Senior FMNP checks. FRESH Match provides a dollar-for-dollar match on all federal benefits spent at market.","Farmer's markets are open to all to shop. FRESH match is only available for those using SNAP, P-EBT and Senior Farmer's Market Nutrition Program.","","x","x","","","","","","","x","x","x","","","","","","","Rosslyn","ART 43, 45, 55; Metrobus 4B, 5A, 38B","Charitable food-site","Virginia",""
"SHARE Food Network","","Discount groceries","Macedonia Baptist Church","3412 South 22nd St.","22204","Monthly","4th Saturday of the month"," 8:00 AM","Year-round","Darlene F. Gilbert","darlenefg1@yahoo.com","703-371-7356","https://www.catholiccharitiesdc.org/share/","Same as main contact info.","Monthly value packages cost $22 and include $40-$45 worth of basic and healthy groceries; always four to six pounds of frozen proteins and eight to 12 pounds of fresh fruits and vegetables. Additional specials are also available. SNAP can be used to pay for food box. Orders must be placed 2 weeks in advance.","Open to all. Email or call Darlene Gilbert to sign up.","","x","","","","","","","","x","x","x","","","","","","","","ART 77, 84, 87; Metrobus 10B, 23A/B/T","Charitable food-site","Virginia",""
"SHARE Food Network","","Discount groceries","LOMAX AME Zion Church","2704 24th Rd S","22206","Monthly","4th Saturday of the month","11:15 AM - 12:30 PM","Year-round","Gloria Camp","lomaxamezchurch@gmail.com","703-979-8408","https://www.catholiccharitiesdc.org/share/","Same as main contact info.","Monthly value packages cost $22 and include $40-$45 worth of basic and healthy groceries; always four to six pounds of frozen proteins and eight to 12 pounds of fresh fruits and vegetables. Additional specials are also available. SNAP can be used to pay for food box. Orders must be placed 2 weeks in advance.","Open to all. ","","x","","","","","","","","x","x","x","","","","","","","","ART 75, 84, 87/A/P; Metrobus 10B, 23A/B/T","Charitable food-site","Virginia",""
"Social 60+ Café","Department of Parks & Rec","Prepared meals","Walter Reed Community Center","2909 South 16th Street","22204","Daily","Tuesday - Friday","","Year-round","Nick England","osap@arlingtonva.us","703-228-6300","https://parks.arlingtonva.us/programs/social-60-cafe/","Register in person or call 703-228-6300","Designed to help older individuals remain independent and involved in their community by providing meals, transportation and related nutrition services. ","Arlington County residents age 60 years or older and their spouses, regardless of income.","x","x","","","","x","","","x","","","","","","","","","","","ART 51, 52, 55, 72; Metrobus 23A/T","Charitable food-site","Virginia",""
"Social 60+ Café","Department of Parks & Rec","Prepared meals","Langston Brown Community Center","2121 N. Culpeper Street","22207","Daily","Tuesday - Friday","","Year-round","Nick England","osap@arlingtonva.us","703-228-6300","https://parks.arlingtonva.us/programs/social-60-cafe/","Register in person or call 703-228-6300","Designed to help older individuals remain independent and involved in their community by providing meals, transportation and related nutrition services. ","Arlington County residents age 60 years or older and their spouses, regardless of income.","x","x","","","","x","","","x","","","","","","","","","","","ART 51, 52, 55, 72; Metrobus 23A/T","Charitable food-site","Virginia",""
"St. Anthony of Padua Catholic Church","","Food pantry","St. Anthony of Padua Catholic Church","3305 Glen Carlyn Rd","22041","Twice weekly","Monday & Wednesday","10 AM - 2 PM","Year-round","Ubaldo Cisneros","ucisneros@stanthonyparish.org","703-820-7111","https://stanthonyofpaduacommunity.com/food-pantry/","In person at first visit","Fresh veggies & fruits, meat or fish, canned food, cereals, pastries, bread, rice and beans. Monthly.","Open to all. ","","x","","","","","","","","x","x","","Spanish","x","","","","","","Metrobus 16 C/E, 28A","Charitable food-site","Virginia",""
"St. Charles Borromeo Catholic Church","","Food pantry","St. Charles Borromeo Catholic Church","3304 Washington Blvd","22201","Weekly","Tuesday","10 AM - 12 PM","Year-round","Anne Marie Kaufmann","akaufmann@stcharleschurch.org","703-527-5500","http://www.stcharleschurch.org/outreach#food-pantry","N/A","Shelf-stable food items.","Live within parish boundaries (Lee Hwy - Ballston)","","x","x","","","","","x","","x","","","Spanish","","","","","","Clarendon","ART 41, 42, 77; Metrobus 38B","Charitable food-site","Virginia",""
"St. George's Episcopal Church","","Food pantry","St. George's Episcopal Church","915 N. Oakland St","22203","Twice weekly","Monday & Thursday","12 - 1 PM","Year-round","","","703-525-8286","https://www.saintgeorgeschurch.org/foodpantry","N/A","Shelf-stable food items. Toiletries available based on availability.","Open to all. ","","x","x","","","","","","","x","","","","","","","","","Virginia Square","ART 41, 42, 51, 75; Metrobus 1A, 2A, 10B, 22A, 23A/B/T, 25B , 38B","Charitable food-site","Virginia",""
